2025-06-05 21:09:39 | INFO     | data.streaming_data_handler |   Streamed 9,800,000 snapshots. Current: 2025-05-29 06:32:44.391107
2025-06-05 21:09:39 | INFO     | core.optimized_engine |   Processed 9,900,000 events (1408430 events/s, avg batch: 0.9ms)
2025-06-05 21:09:40 | INFO     | core.optimized_engine |   Processed 10,000,000 events (968885 events/s, avg batch: 0.8ms)
2025-06-05 21:09:40 | INFO     | data.streaming_data_handler |   Streamed 10,000,000 snapshots. Current: 2025-05-29 06:34:12.520033
2025-06-05 21:09:40 | INFO     | core.optimized_engine |   Processed 10,100,000 events (958917 events/s, avg batch: 1.2ms)
2025-06-05 21:09:41 | INFO     | core.optimized_engine |   Processed 10,200,000 events (947865 events/s, avg batch: 1.1ms)
2025-06-05 21:09:41 | INFO     | data.streaming_data_handler |   Streamed 10,200,000 snapshots. Current: 2025-05-29 06:35:37.156836
2025-06-05 21:09:41 | INFO     | core.optimized_engine |   Processed 10,300,000 events (973608 events/s, avg batch: 1.0ms)
2025-06-05 21:09:41 | INFO     | core.optimized_engine |   Processed 10,400,000 events (1213630 events/s, avg batch: 0.8ms)
2025-06-05 21:09:41 | INFO     | data.streaming_data_handler |   Streamed 10,400,000 snapshots. Current: 2025-05-29 06:36:25.714676
2025-06-05 21:09:42 | INFO     | core.optimized_engine |   Processed 10,500,000 events (1695353 events/s, avg batch: 0.7ms)
2025-06-05 21:09:42 | INFO     | core.optimized_engine |   Processed 10,600,000 events (1020512 events/s, avg batch: 0.6ms)
2025-06-05 21:09:42 | INFO     | data.streaming_data_handler |   Streamed 10,600,000 snapshots. Current: 2025-05-29 06:37:26.392104
2025-06-05 21:09:42 | INFO     | core.optimized_engine |   Processed 10,700,000 events (1475309 events/s, avg batch: 0.7ms)
2025-06-05 21:09:43 | INFO     | core.optimized_engine |   Processed 10,800,000 events (1170939 events/s, avg batch: 0.8ms)
2025-06-05 21:09:43 | INFO     | data.streaming_data_handler |   Streamed 10,800,000 snapshots. Current: 2025-05-29 06:38:15.031859
2025-06-05 21:09:43 | INFO     | core.optimized_engine |   Processed 10,900,000 events (1444817 events/s, avg batch: 0.7ms)
2025-06-05 21:09:43 | INFO     | core.optimized_engine |   Processed 11,000,000 events (1438869 events/s, avg batch: 0.8ms)
2025-06-05 21:09:43 | INFO     | data.streaming_data_handler |   Streamed 11,000,000 snapshots. Current: 2025-05-29 06:39:22.603738
2025-06-05 21:09:44 | INFO     | core.optimized_engine |   Processed 11,100,000 events (1432481 events/s, avg batch: 0.7ms)
2025-06-05 21:09:44 | INFO     | core.optimized_engine |   Processed 11,200,000 events (1262584 events/s, avg batch: 0.8ms)
2025-06-05 21:09:44 | INFO     | data.streaming_data_handler |   Streamed 11,200,000 snapshots. Current: 2025-05-29 06:40:26.071994
2025-06-05 21:09:44 | INFO     | core.optimized_engine |   Processed 11,300,000 events (1358699 events/s, avg batch: 0.8ms)
2025-06-05 21:09:44 | INFO     | core.optimized_engine |   Processed 11,400,000 events (1237988 events/s, avg batch: 0.8ms)
2025-06-05 21:09:44 | INFO     | data.streaming_data_handler |   Streamed 11,400,000 snapshots. Current: 2025-05-29 06:41:09.997946
2025-06-05 21:09:45 | INFO     | core.optimized_engine |   Processed 11,500,000 events (1457368 events/s, avg batch: 0.7ms)
2025-06-05 21:09:45 | INFO     | core.optimized_engine |   Processed 11,600,000 events (1269078 events/s, avg batch: 0.7ms)
2025-06-05 21:09:45 | INFO     | data.streaming_data_handler |   Streamed 11,600,000 snapshots. Current: 2025-05-29 06:42:01.492481
2025-06-05 21:09:45 | INFO     | core.optimized_engine |   Processed 11,700,000 events (1447310 events/s, avg batch: 0.7ms)
2025-06-05 21:09:46 | INFO     | core.optimized_engine |   Processed 11,800,000 events (1204914 events/s, avg batch: 0.7ms)
2025-06-05 21:09:46 | INFO     | data.streaming_data_handler |   Streamed 11,800,000 snapshots. Current: 2025-05-29 06:43:04.942010
